Trait,Breed,Ev
cca,OB,0.1765162794209854
ccc,OB,0.31709127973149775
cfa,OB,0.019981497528341233
cfc,OB,0.1393641532530394
cwa,OB,-0.05372803539995987
cwc,OB,-0.06323182153138887
cca,BV,0.19101249628810768
ccc,BV,0.3598946093011487
cfa,BV,0.02632335600996793
cfc,BV,0.12965151796127444
cwa,BV,-0.08050301371272711
cwc,BV,-0.07425783886993666
cca,SI,0.15675276700967475
ccc,SI,0.3100330869433756
cfa,SI,0.036337019840310084
cfc,SI,0.13189775328332307
cwa,SI,-0.09173933882750812
cwc,SI,-0.07773262192433465
cca,SF,0.19768091394983756
ccc,SF,0.37971554576936517
cfa,SF,0.0222133491608992
cfc,SF,0.10901294859996713
cwa,SF,-0.10654687068714971
cwc,SF,-0.056553041133349406
cca,MO,0.16958146794147194
ccc,MO,0.3344434755356023
cfa,MO,0.06833063688130198
cfc,MO,0.14712802242360895
cwa,MO,-0.1404469632574482
cwc,MO,-0.08936741785199262
