Trait,Breed,Ev
cca,OB,0.22926780570135177
ccc,OB,0.41185335511003923
cfa,OB,0.02595292688004133
cfc,OB,0.18101284320381286
cwa,OB,-0.06978454803828645
cwc,OB,-0.08212852106646835
cca,BV,0.22168407739550583
ccc,BV,0.4176842142422093
cfa,BV,0.030550194382159366
cfc,BV,0.15047014043950493
cwa,BV,-0.09342967957209385
cwc,BV,-0.086181693968526707
cca,SI,0.19484675108415772
ccc,SI,0.3853771826291303
cfa,SI,0.04516762539526983
cfc,SI,0.16395148355479497
cwa,SI,-0.11403379001306836
cwc,SI,-0.09662316732357885
cca,SF,0.22677041783076263
ccc,SF,0.4355921431686894
cfa,SF,0.025482128597988866
cfc,SF,0.12505462165786546
cwa,SF,-0.12222565093166411
cwc,SF,-0.06487503781302954
cca,MO,0.17863881607154816
ccc,MO,0.35230610536496576
cfa,MO,0.07198017697372162
cfc,MO,0.1549861317733889
cwa,MO,-0.14794823716123215
cwc,MO,-0.09414053265514344
