Trait,Breed,Ev
cca,OB,0.06062708255456163
ccc,OB,0.1676490234367819
cfa,OB,0.006862935839052653
cfc,OB,0.07368308650666819
cwa,OB,0.06062708255456163
cwc,OB,0.1676490234367819
cca,BV,0.03249194390149935
ccc,BV,0.22491329136984178
cfa,BV,0.004477701843574743
cfc,BV,0.08102469134614325
cwa,BV,0.03249194390149935
cwc,BV,0.22491329136984178
cca,SI,0.12133260590386499
ccc,SI,0.041408747256722264
cfa,SI,0.028126235932620904
cfc,SI,0.017616573712457218
cwa,SI,0.12133260590386499
cwc,SI,0.041408747256722264
cca,SF,0.06269023631718984
ccc,SF,0.17484569398971
cfa,SF,0.007044484368614313
cfc,SF,0.05019664025924008
cwa,SF,0.06269023631718984
cwc,SF,0.17484569398971
cca,MO,0.10920137449989556
ccc,MO,0.05798421721099923
cfa,MO,0.044001267110547373
cfc,MO,0.025508355922844582
cwa,MO,0.10920137449989556
cwc,MO,0.05798421721099923
