Trait,Breed,Ev
cca,OB,0.0902863419168194
ccc,OB,0.2496642822687711
cfa,OB,0.010220339584380683
cfc,OB,0.10972944864765032
cwa,OB,-0.027481362005543415
cwc,OB,-0.04978606586894758
cca,BV,0.04743033989263637
ccc,BV,0.3283187330491141
cfa,BV,0.006536356243334347
cfc,BV,0.11827635372921443
cwa,BV,-0.019989714688703003
cwc,BV,-0.0677427195258216
cca,SI,0.16617313020365496
ccc,SI,0.056712052775933636
cfa,SI,0.038520763903095646
cfc,SI,0.02412707759348625
cwa,SI,-0.09725259328174941
cwc,SI,-0.01421905190973926
cca,SF,0.09248451540139074
ccc,SF,0.2579431858709421
cfa,SF,0.01039245919871133
cfc,SF,0.07405318948974511
cwa,SF,-0.04984768385650103
cwc,SF,-0.03841684061438676
cca,MO,0.1407448632895649
ccc,MO,0.07473331504927466
cfa,MO,0.05671130379450985
cfc,MO,0.032876601448874235
cwa,MO,-0.11656455674700487
cwc,MO,-0.01996966268448604
